Package             Version           
mlocate 0.26.git.20170220-2
mobile-broadband-provider-info 20190618-1
modemmanager 1.12.2-1
mtools 4.0.23-1
mtpfs 1.1-3
nano 4.7-1
neofetch 6.1.0-1
net-tools 1.60.20181103git-2
networkmanager 1.20.9dev+19+gcbb1ad1ba-1
networkmanager-openconnect 1.2.6-1
networkmanager-openvpn 1.8.10-1
networkmanager-pptp 1.2.9dev+10+gb41b0d0-1
networkmanager-vpnc 1.2.7dev+20+gdca3aea-1
nfs-utils 2.4.2-1
ninja-kitware 1.9.0-3
noto-fonts 20190926-3
noto-fonts-cjk 20190409-1
noto-fonts-emoji 20191016-1
npm 6.13.4-1
nss-mdns 0.14.1-2
ntfs-3g 2017.3.23-3
ntp 4.2.8.p13-2
numlockx 1.2-4
nvidia-418xx-utils 418.113-1
octopi 0.9.0-21
okular 19.12.0-1
openblas 0.3.7-1
openresolv 3.9.2-2
openssh 8.1p1-2
os-prober 1.77-1
otf-fira-code 2-1
p7zip 16.02-5
pacgraph 20110629-4
pacman 5.2.1-2
pacman4console 1.3-1
pamac-gtk 9.2.2-1
pamac-tray-appindicator 9.2.2-1
partitionmanager3 3.3.1-1
patch 2.7.6-8
patchutils 0.3.4-3
pciutils 3.6.2-2
perl 5.30.1-1
perl-file-mimeinfo 0.29-2
phonon-qt5-gstreamer 4.10.0-1
phpmyadmin 4.9.2-1
pkgconf 1.6.3-3
plasma-desktop 5.17.4-2
plasma-meta 5.17-1
plasma-nm 5.17.4-1
plasma-pa 5.17.4-1
plasma-workspace 5.17.4-1
plasma-workspace-wallpapers 5.17.4-1
plasma5-applets-redshift-control 1.0.18-2
plasma5-themes-breath 0.4.0-2
pngcrush 1.8.13-2
poppler-data 0.4.9-1
powerdevil 5.17.4-1
powerpill 2018.11-3
powershell-bin 6.2.3-1
powertop 2.11-1
print-manager 19.12.0-1
procps-ng 3.3.15-2
psmisc 23.3-2
pulseaudio-bluetooth 13.0-2
pulseaudio-ctl 1.67-1
pulseaudio-zeroconf 13.0-2
pyenv 1.2.15-1
python-docutils 0.14-4
python-numpy 1.18.1-1
python-pandas 0.25.3-1
python-pillow 6.2.1-1
python-pip 19.2.3-3
python-pygments 2.5.2-1
python-pyqt5 5.14.0-3
python-pysmbc 1.0.18-1
python-reportlab 3.5.32-2
python2 2.7.17-1
qemu 4.2.0-1
qt5-imageformats 5.14.0-1
qt5-virtualkeyboard 5.14.0-1
redshift 1.12-3
reiserfsprogs 3.6.27-3
robo3t-bin 1.3.1-2
rst2beamer 0.6.6-3
rsync 3.1.3-1
ruby 2.6.5-1
s-nail 14.9.15-3
samba 4.10.10-2
screenfetch 3.9.1-1
sddm 0.18.1-1
sddm-breath-theme 0.4.0-2
sddm-kcm 5.17.4-1
sed 4.7-3
shadow 4.8-1
simplescreenrecorder 0.3.11-1
skanlite 2.1.0.1-1
spaceship-prompt-git v3.11.2.r5.gb71f6ae-1
spectacle 19.12.0-1
spectre-meltdown-checker 0.43-1
sphinx 2.2.11-2
splix 2.0.0-14
sshfs 3.6.0-1
steam-manjaro 1.0.0.61-7
sublime-text 3211-1
subversion 1.13.0-1
sudo 1.8.29-1
